listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
826814,2025-08-01,18,13,0.419,402.0,33.1,30.9,,,5,177.0,190.0,2303.0
826814,2025-05-01,10,21,0.677,610.0,29.2,29.0,20,15,5,165.0,166.0,3464.0
826814,2024-10-01,13,18,0.581,533.0,28.9,29.6,,,,161.0,157.0,2892.0
826814,2025-06-01,7,23,0.767,647.0,28.4,28.1,13,13,5,161.0,163.0,3707.0
826814,2024-09-01,10,20,0.667,593.0,29.0,29.6,70,7,,166.0,163.0,3327.0
826814,2025-04-01,21,9,0.3,244.0,29.3,27.1,20,7,5,154.0,167.0,1387.0
826814,2025-07-01,4,27,0.871,879.0,31.8,32.6,7,23,5,187.0,182.0,5036.0
826814,2024-12-01,17,14,0.452,409.0,28.8,29.2,56,16,5,174.0,172.0,2444.0
826814,2025-01-01,0,31,1.0,858.0,27.7,27.7,222,29,5,175.0,175.0,5407.0
826814,2025-02-01,13,15,0.536,753.0,39.9,50.2,8,12,5,293.0,233.0,4399.0
826814,2024-11-01,30,0,0.0,0.0,28.2,,,,,,166.0,0.0
826814,2025-03-01,21,10,0.323,855.0,52.6,85.5,,,5,503.0,310.0,5033.0
588751,2024-11-01,17,13,0.433,3099.0,224.2,238.4,236,17,,1399.0,1316.0,18191.0
588751,2024-12-01,7,24,0.774,7600.0,333.3,316.7,95,7,,1892.0,1991.0,45405.0
465251,2024-12-01,0,31,1.0,9972.0,321.7,321.7,11,10,4,1922.0,1922.0,59576.0
588751,2025-03-01,28,3,0.097,668.0,181.6,222.7,,,2,1311.0,1069.0,3932.0
465251,2024-09-01,17,13,0.433,2729.0,207.5,209.9,70,6,,1178.0,1164.0,15312.0
465251,2025-03-01,9,22,0.71,4499.0,204.7,204.5,3,2,4,1204.0,1205.0,26481.0
465251,2025-06-01,30,0,0.0,0.0,168.5,,,,4,,965.0,0.0
465251,2025-08-01,20,11,0.355,1499.0,138.3,136.3,11,5,18,781.0,792.0,8589.0
588751,2025-04-01,30,0,0.0,0.0,137.9,,,,2,,784.0,0.0
465251,2025-07-01,31,0,0.0,0.0,152.1,,,,5,,871.0,0.0
588751,2025-01-01,10,21,0.677,3782.0,172.2,180.1,38,7,2,1135.0,1085.0,23832.0
588751,2025-02-01,5,23,0.821,3803.0,165.9,165.3,42,12,2,966.0,969.0,22217.0
465251,2024-11-01,23,7,0.233,1534.0,218.8,219.1,1,35,,1286.0,1284.0,9004.0
465251,2025-04-01,18,12,0.4,2321.0,198.6,193.4,5,1,4,1099.0,1129.0,13190.0
588751,2025-07-01,17,14,0.452,2133.0,153.9,152.4,22,7,3,873.0,882.0,12221.0
465251,2025-02-01,17,11,0.393,2265.0,205.8,205.9,48,8,4,1203.0,1202.0,13232.0
588751,2024-10-01,31,0,0.0,0.0,210.7,,,,,,1143.0,0.0
465251,2025-01-01,23,8,0.258,2908.0,252.9,363.5,1,1,4,2291.0,1594.0,18325.0
588751,2025-08-01,31,0,0.0,0.0,145.9,,,,3,,836.0,0.0
588751,2024-09-01,30,0,0.0,0.0,227.0,,,,,,1274.0,0.0
465251,2025-05-01,18,13,0.419,2309.0,188.2,177.6,10,1,4,1009.0,1069.0,13112.0
465251,2024-10-01,23,8,0.258,1643.0,212.0,205.4,1,8,,1114.0,1150.0,8914.0
588751,2025-06-01,30,0,0.0,0.0,140.6,,,,2,,806.0,0.0
588751,2025-05-01,31,0,0.0,0.0,137.6,,,,2,,781.0,0.0
347820,2024-12-01,15,16,0.516,3343.0,212.5,208.9,198,2,2,1248.0,1270.0,19972.0
347820,2024-09-01,13,17,0.567,3626.0,212.9,213.3,54,2,,1197.0,1195.0,20344.0
347820,2024-11-01,22,8,0.267,1678.0,203.5,209.8,65,2,,1232.0,1195.0,9850.0
347820,2025-06-01,12,18,0.6,4114.0,232.3,228.6,43,4,2,1310.0,1331.0,23572.0
347820,2025-01-01,12,19,0.613,3920.0,209.1,206.3,70,4,2,1300.0,1318.0,24702.0
347820,2025-05-01,18,13,0.419,3113.0,232.0,239.5,22,6,2,1360.0,1317.0,17677.0
347820,2025-03-01,9,22,0.71,4396.0,201.8,199.8,120,3,2,1176.0,1188.0,25875.0
347820,2024-10-01,9,22,0.71,4605.0,207.8,209.3,42,3,,1136.0,1127.0,24984.0
347820,2025-02-01,6,22,0.786,4617.0,210.1,209.9,130,3,2,1226.0,1227.0,26973.0
347820,2025-04-01,20,10,0.333,2112.0,213.1,211.2,67,3,2,1200.0,1211.0,12002.0
347820,2025-07-01,3,28,0.903,6801.0,243.5,242.9,18,3,2,1392.0,1395.0,38967.0
347820,2025-08-01,2,29,0.935,7262.0,249.7,250.4,103,5,2,1435.0,1431.0,41608.0
332151,2025-07-01,16,15,0.484,373.0,24.9,24.9,49,1,1,143.0,143.0,2137.0
332151,2025-08-01,21,10,0.323,263.0,26.2,26.3,46,2,1,151.0,150.0,1507.0
569509,2025-08-01,31,0,0.0,0.0,98.8,,,,3,,566.0,0.0
569509,2025-05-01,20,11,0.355,1252.0,106.2,113.8,108,7,3,646.0,603.0,7110.0
332151,2024-10-01,11,20,0.645,453.0,22.5,22.6,61,2,,123.0,122.0,2458.0
332151,2025-01-01,0,31,1.0,693.0,22.4,22.4,167,10,1,141.0,141.0,4367.0
569509,2025-06-01,23,7,0.233,651.0,97.7,93.0,102,7,3,533.0,560.0,3730.0
569509,2025-03-01,1,30,0.968,2373.0,79.0,79.1,83,4,3,466.0,465.0,13968.0
332151,2024-11-01,2,28,0.933,640.0,22.9,22.9,54,2,,134.0,134.0,3757.0
332151,2025-06-01,16,14,0.467,349.0,25.0,24.9,13,2,1,143.0,143.0,2000.0
569509,2024-09-01,20,10,0.333,970.0,94.0,97.0,82,2,,544.0,527.0,5442.0
332151,2025-02-01,2,26,0.929,650.0,25.1,25.0,86,2,1,146.0,147.0,3797.0
332151,2025-04-01,25,5,0.167,117.0,23.7,23.4,11,1,1,133.0,135.0,665.0
332151,2024-09-01,12,18,0.6,398.0,21.8,22.1,80,1,,124.0,122.0,2233.0
332151,2025-05-01,28,3,0.097,78.0,24.4,26.0,17,1,1,148.0,139.0,443.0
332151,2024-12-01,11,20,0.645,456.0,22.5,22.8,76,2,1,136.0,134.0,2724.0
569509,2025-02-01,1,27,0.964,2153.0,79.6,79.7,96,6,3,466.0,465.0,12578.0
569509,2024-11-01,11,19,0.633,1849.0,98.8,97.3,45,5,,571.0,580.0,10853.0
569509,2025-04-01,16,14,0.467,1359.0,97.6,97.1,164,8,3,552.0,555.0,7723.0
332151,2025-03-01,1,30,0.968,841.0,28.4,28.0,41,1,1,165.0,167.0,4950.0
569509,2025-01-01,2,29,0.935,2542.0,90.4,87.7,55,7,3,553.0,570.0,16018.0
569509,2024-10-01,30,1,0.032,89.0,86.5,89.0,2,7,,483.0,469.0,483.0
569509,2025-07-01,28,3,0.097,307.0,99.3,102.3,1,3,3,586.0,569.0,1759.0
569509,2024-12-01,21,10,0.323,1105.0,97.0,110.5,58,9,7,660.0,580.0,6602.0
265072,2025-06-01,9,21,0.7,1102.0,53.9,52.5,4,3,2,301.0,309.0,6314.0
265072,2024-12-01,9,22,0.71,930.0,42.5,42.3,42,3,2,253.0,254.0,5556.0
265072,2025-08-01,25,6,0.194,288.0,47.2,48.0,1,17,1,275.0,270.0,1650.0
265072,2024-09-01,12,18,0.6,1014.0,53.2,56.3,9,4,,316.0,298.0,5689.0
265072,2025-02-01,4,24,0.857,1407.0,57.8,58.6,8,3,2,342.0,338.0,8220.0
265072,2024-11-01,10,20,0.667,870.0,42.7,43.5,11,2,,255.0,251.0,5107.0
265072,2025-01-01,5,26,0.839,1293.0,50.0,49.7,13,4,1,313.0,315.0,8148.0
265072,2025-05-01,18,13,0.419,697.0,53.0,53.6,2,2,2,304.0,301.0,3958.0
265072,2025-03-01,13,18,0.581,1771.0,98.5,98.4,3,7,2,579.0,580.0,10424.0
265072,2025-07-01,8,23,0.742,1033.0,45.3,44.9,2,11,1,257.0,260.0,5919.0
265072,2024-10-01,14,17,0.548,963.0,51.3,56.6,7,2,,307.0,278.0,5225.0
265072,2025-04-01,14,16,0.533,791.0,51.8,49.4,9,5,1,281.0,294.0,4495.0
321802,2025-05-01,31,0,0.0,0.0,61.5,,,,2,,349.0,0.0
321802,2025-02-01,20,8,0.286,468.0,48.2,58.5,65,10,2,342.0,282.0,2734.0
321802,2025-01-01,31,0,0.0,0.0,53.9,,,,2,,340.0,0.0
321802,2025-07-01,31,0,0.0,0.0,66.9,,,,2,,383.0,0.0
321802,2024-12-01,28,3,0.097,256.0,62.4,85.3,11,3,2,510.0,373.0,1529.0
321802,2024-10-01,31,0,0.0,0.0,51.1,,,,,,277.0,0.0
321802,2025-08-01,31,0,0.0,0.0,67.8,,,,2,,388.0,0.0
321802,2025-06-01,30,0,0.0,0.0,61.8,,,,2,,354.0,0.0
321802,2025-03-01,27,4,0.129,238.0,54.0,59.5,45,2,2,350.0,318.0,1401.0
321802,2024-11-01,30,0,0.0,0.0,50.4,,,,,,296.0,0.0
321802,2024-09-01,30,0,0.0,0.0,51.8,,,,,,291.0,0.0
321802,2025-04-01,30,0,0.0,0.0,57.9,,,,2,,329.0,0.0
810940,2025-08-01,31,0,0.0,0.0,108.4,,,,3,,621.0,0.0
282071,2024-09-01,30,0,0.0,0.0,70.4,,,,,,395.0,0.0
810940,2024-12-01,25,6,0.194,750.0,102.0,125.0,31,3,,747.0,609.0,4481.0
282071,2025-01-01,17,14,0.452,992.0,70.6,70.9,31,46,2,447.0,445.0,6251.0
810940,2024-09-01,30,0,0.0,0.0,98.8,,,,,,554.0,0.0
282071,2025-04-01,25,5,0.167,348.0,67.2,69.6,,,2,396.0,382.0,1978.0
810940,2025-01-01,29,2,0.065,243.0,120.8,121.5,29,1,3,766.0,761.0,1531.0
282071,2025-08-01,31,0,0.0,0.0,66.1,,,,2,,379.0,0.0
810940,2024-10-01,31,0,0.0,0.0,71.5,,,,,,388.0,0.0
282071,2025-02-01,0,28,1.0,1975.0,70.5,70.5,,,2,412.0,412.0,11538.0
810940,2025-03-01,27,4,0.129,802.0,116.9,200.5,73,4,3,1180.0,688.0,4721.0
810940,2025-07-01,31,0,0.0,0.0,109.0,,,,3,,625.0,0.0
282071,2024-11-01,30,0,0.0,0.0,70.3,,,,,,413.0,0.0
810940,2025-05-01,28,3,0.097,319.0,110.1,106.3,45,3,3,604.0,625.0,1811.0
282071,2025-07-01,31,0,0.0,0.0,65.8,,,,2,,377.0,0.0
282071,2025-03-01,4,27,0.871,1882.0,69.9,69.7,81,28,2,410.0,411.0,11078.0
282071,2025-06-01,28,2,0.067,132.0,66.6,66.0,1,2,2,378.0,382.0,756.0
810940,2025-06-01,30,0,0.0,0.0,103.9,,,,3,,595.0,0.0
282071,2024-10-01,31,0,0.0,0.0,70.0,,,,,,380.0,0.0
810940,2025-04-01,27,3,0.1,324.0,99.8,108.0,3,1,3,614.0,567.0,1841.0
282071,2025-05-01,31,0,0.0,0.0,66.9,,,,2,,380.0,0.0
282071,2024-12-01,31,0,0.0,0.0,69.6,,,,,,416.0,0.0
810940,2024-11-01,27,3,0.1,238.0,80.2,79.3,12,3,,465.0,471.0,1397.0
810940,2025-02-01,28,0,0.0,0.0,151.2,,,,3,,883.0,0.0
98969,2025-01-01,0,31,1.0,711.0,22.9,22.9,16,17,2,144.0,144.0,4480.0
490098,2024-12-01,10,21,0.677,4083.0,193.3,194.4,50,2,,1161.0,1155.0,24393.0
577253,2024-11-01,30,0,0.0,0.0,48.8,,,,,,286.0,0.0
98969,2025-02-01,12,16,0.571,339.0,21.0,21.2,48,7,2,124.0,123.0,1980.0
