listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
821174,2026-05-01,31,0,0.0,0.0,75.4,,,,2,,432.0,0.0
821174,2026-04-01,30,0,0.0,0.0,75.2,,,,2,,431.0,0.0
821174,2026-03-01,31,0,0.0,0.0,74.6,,,,2,,427.0,0.0
821174,2025-10-01,31,0,0.0,0.0,75.1,,,,2,,430.0,0.0
821174,2025-09-01,30,0,0.0,0.0,76.2,,,,2,,437.0,0.0
821174,2025-11-01,30,0,0.0,0.0,73.8,,,,2,,423.0,0.0
821174,2026-08-01,31,0,0.0,0.0,74.2,,,,,,425.0,0.0
821174,2026-07-01,31,0,0.0,0.0,73.8,,,,,,423.0,0.0
821174,2026-02-01,28,0,0.0,0.0,73.5,,,,2,,421.0,0.0
821174,2026-06-01,30,0,0.0,0.0,74.5,,,,2,,427.0,0.0
821174,2025-12-01,28,3,0.097,225.0,74.2,75.0,195,4,2,430.0,425.0,1289.0
821174,2026-01-01,30,1,0.032,75.0,74.4,75.0,,,2,430.0,426.0,430.0
904873,2026-05-01,31,0,0.0,0.0,60.6,,,,3,,347.0,0.0
334585,2026-02-01,28,0,0.0,0.0,46.3,,,,3,,265.0,0.0
334585,2026-07-01,31,0,0.0,0.0,46.0,,,,3,,264.0,0.0
515144,2026-07-01,31,0,0.0,0.0,16.6,,,,,,95.0,0.0
904873,2025-11-01,30,0,0.0,0.0,59.7,,,,3,,342.0,0.0
324324,2026-03-01,31,0,0.0,0.0,71.4,,,,2,,409.0,0.0
334585,2026-03-01,31,0,0.0,0.0,46.1,,,,3,,264.0,0.0
324324,2026-04-01,30,0,0.0,0.0,67.7,,,,2,,388.0,0.0
675035,2026-06-01,30,0,0.0,0.0,42.8,,,,1,,245.0,0.0
334585,2025-12-01,31,0,0.0,0.0,46.6,,,,3,,267.0,0.0
324324,2025-12-01,28,3,0.097,296.0,82.1,98.7,223,10,2,566.0,470.0,1696.0
324324,2026-06-01,30,0,0.0,0.0,69.0,,,,2,,395.0,0.0
324324,2025-11-01,30,0,0.0,0.0,75.7,,,,2,,434.0,0.0
519097,2025-10-01,30,1,0.032,50.0,50.8,50.0,61,2,2,286.0,291.0,286.0
324324,2026-02-01,21,7,0.25,505.0,73.5,72.1,200,7,2,413.0,421.0,2893.0
904873,2026-03-01,31,0,0.0,0.0,59.6,,,,3,,341.0,0.0
519097,2026-06-01,30,0,0.0,0.0,53.3,,,,2,,305.0,0.0
334585,2026-08-01,31,0,0.0,0.0,46.4,,,,3,,266.0,0.0
519097,2026-04-01,30,0,0.0,0.0,51.9,,,,2,,297.0,0.0
904873,2026-01-01,29,2,0.065,123.0,60.8,61.5,,,3,352.0,348.0,705.0
675035,2026-07-01,31,0,0.0,0.0,45.0,,,,1,,258.0,0.0
515144,2025-12-01,31,0,0.0,0.0,16.6,,,,3,,95.0,0.0
324324,2026-05-01,31,0,0.0,0.0,68.5,,,,2,,392.0,0.0
