listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",Entire condo,entire_home,https://a0.muscache.com/im/pictures/65320518/30698f38_original.jpg,23,68997,Matthias,"","",false,-22.9660,-43.1794,5,2,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Smoking allowed,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Luggage dropoff allowed,Essentials,Hangers,Hair dryer,Iron,Private entrance,Bathtub",false,5,Firm,BRL,55,0,340,4.71,4.8,4.8,4.6,4.9,4.8,4.7,23090.0,134301.0,84.4,491.0,0.74,0.0,63.3,367.9,0.0,0.0,270,0,95,365,4416.0,25302.0,79.9,457.9,0.622,0.0,49.1,281.1,0.0,0.0,56,0,34,90
25026,Beautiful Modern Decorated Studio in Copacabana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7c08fa4f-1d7b-4505-bf97-3b592ff73f33.jpg,40,102840,Viviane,"","",true,-22.9765,-43.1912,3,1,2,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Room-darkening shades,Paid parking off premises,Books and reading material,Ceiling fan,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Hammock,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Single level home,Beach access,Essentials,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster",false,2,Strict,BRL,0,0,312,4.75,4.7,4.8,4.8,4.9,4.8,4.7,11577.0,68149.0,62.2,360.0,0.515,0.78,31.7,186.7,48.0,282.8,188,124,177,365,655.0,3754.0,67.5,386.7,0.122,0.379,7.3,41.7,22.6,129.4,11,61,79,90
35764,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,Entire loft,entire_home,https://a0.muscache.com/im/pictures/23782972/1d3e55b0_original.jpg,48,153691,Patricia&Paulo,"","",true,-22.9811,-43.1914,2,1,1,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Hangers,Hair dryer,Iron",false,3,Strict,BRL,25,0,522,4.91,4.9,5.0,4.9,5.0,5.0,4.9,4741.0,27107.0,47.0,272.1,0.301,0.719,13.0,74.3,31.0,177.2,110,212,255,365,116.0,664.0,50.8,290.9,0.022,0.133,1.3,7.4,7.7,44.3,2,75,88,90
48305,Bright 6bed Penthouse Seconds from Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-48305/original/cce14bf9-c5b6-44c6-a89f-61323975afdb.jpeg,29,70933,Goitaca,"","",true,-22.9859,-43.2030,13,6,7,7.0,false,"TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Oven,Stove,BBQ grill,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance,Baby bath",true,7,Strict,BRL,0,0,183,4.77,4.7,4.8,4.7,4.8,5.0,4.6,109407.0,636837.0,784.9,4566.6,0.367,0.469,299.7,1744.8,382.5,2226.7,134,79,231,365,17224.0,98687.0,588.5,3371.8,0.311,0.318,191.4,1096.5,195.7,1121.4,28,2,62,90
48901,Extra large 4BD 3BT on the AtlanticAve. Copacabana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDg5MDE%3D/original/c3a8d839-4a72-42ef-976c-bd24b35ae75f.jpeg,27,222884,Marcio,"","",false,-22.9657,-43.1751,9,4,5,2.5,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Portable fans,Smoking allowed,Pets allowed,Hot water,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Beach access,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baby monitor,Toaster",false,2,Strict,BRL,54,0,49,4.63,4.7,4.9,4.4,4.8,4.9,4.6,47087.0,275374.0,208.1,1207.3,0.578,0.603,129.0,754.4,134.5,786.8,211,15,154,365,6925.0,39676.0,178.9,1025.1,0.422,0.507,76.9,440.8,92.3,529.0,38,15,52,90
49179,Djalma Ocean View Studio with Amazing Views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-49179/original/d1b3bf11-8f71-4b41-a720-2b2c38394fd3.jpeg,34,224192,David,"262684250,554957480","Valdineide,Nicholas",true,-22.9791,-43.1901,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Paid parking off premises,Ceiling fan,Hot water,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Beach access,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Hangers,Iron,Dedicated workspace",true,4,Strict,BRL,0,0,186,4.85,4.9,4.9,4.7,4.9,4.9,4.8,15171.0,87868.0,49.5,286.4,0.841,0.919,41.6,240.7,45.4,263.1,307,31,58,365,2626.0,15047.0,50.7,290.4,0.578,0.881,29.2,167.2,44.5,255.0,52,31,38,90
50759,Casanova Residence great for shoots and events,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-50759/original/7cf2906e-d6eb-4def-a022-2a51c522b38a.jpeg,25,233554,Felipe,117157556,Andres,false,-23.0045,-43.3087,14,6,10,7.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Breakfast,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Washer,Dryer,Smoke alarm,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron",false,1,Strict,BRL,143,0,7,4.57,4.9,4.9,4.9,4.6,4.7,4.6,8000.0,46696.0,630.5,3649.8,0.036,0.0,21.9,127.9,0.0,0.0,13,0,352,365,1821.0,10434.0,605.5,3469.5,0.033,0.0,20.2,115.9,0.0,0.0,3,0,87,90
51703,"Ocean view, block of the beach, Copacabana,Ipanema",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d0295650-2b1e-4f32-830e-a0f6059c2095.jpg,42,238091,Dalia,"","",true,-22.9817,-43.1906,2,,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Room-darkening shades,Hot water,Body soap,Conditioner,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Beach access,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Toaster",false,1,Strict,BRL,25,0,322,4.78,4.8,4.9,4.8,4.9,4.9,4.7,8160.0,47863.0,52.2,302.2,0.449,0.453,22.4,131.1,22.5,132.2,164,3,201,365,2867.0,16423.0,43.2,247.5,0.744,0.77,31.9,182.5,33.0,188.8,67,3,23,90
53533,Walk to Joatinga Beach / Pool / PedraDaGávea Views,Entire home,entire_home,https://a0.muscache.com/im/pictures/837a9de2-a10a-456d-932c-642af82cd545.jpg,171,249439,Sherri & Andre,"","",false,-23.0081,-43.2911,10,4,6,4.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Trash compactor,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Dryer,Beach access,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Rice maker,Blender,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils",false,3,Strict,BRL,0,0,43,4.95,4.9,4.9,5.0,4.9,4.9,4.7,15525.0,92170.0,291.0,1682.3,0.145,0.0,42.5,252.5,0.0,0.0,53,0,312,365,2517.0,14420.0,252.6,1447.5,0.111,0.0,28.0,160.2,0.0,0.0,10,0,80,90
61661,Perfect Copacabana near Ipanema,Entire apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-61661/original/608d5ba1-da48-47c6-93b8-abfe95f85907.jpeg,14,241334,Andrea,"","",true,-22.9845,-43.1925,4,1,2,,false,"TV,Cable TV,Beach access,Air conditioning,Kitchen,Elevator",,,Strict,BRL,41,,42,4.51,4.8,4.9,4.7,4.7,4.9,4.6,8066.0,46610.0,63.6,368.3,0.37,0.529,22.1,127.7,31.6,182.8,135,110,230,365,0.0,0.0,42.5,243.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
